getCode,getAccountClass,getAccountType,isPartnerAllowed
LG,,,FALSE
NDS_AF,,,FALSE
NDS_BS_PP,,,FALSE
NDS_BS11200100 - NDS_BS11330600,,AssetPartner,TRUE
NDS_BS11200100 - NDS_BS11330600,,,FALSE
NDS_BS11410000 - NDS_BS11451100,,,TRUE
NDS_BS11500000,,,FALSE
NDS_BS14110100,,,TRUE
NDS_BS14110200,,,FALSE
NDS_BS14110300 - NDS_BS14120100,,,TRUE
NDS_BS14120200 - NDS_BS14130000,,,FALSE
NDS_BS14310000 - NDS_BS14340100,,,TRUE
NDS_BS14340200,,,FALSE
NDS_BS14340300 - NDS_BS14341100,,,TRUE
NDS_BS14510000 - NDS_BS14740000,,,FALSE
NDS_BS14750000,,,TRUE
NDS_BS21110000 - NDS_BS21140300,,,FALSE
NDS_BS21140700,,,TRUE
NDS_BS21140900 - NDS_BS21141000,,,FALSE
NDS_BS24100100 - NDS_BS24100200,,,TRUE
NDS_BS24210100 - NDS_BS24230200,,,FALSE
NDS_BS24240000,,,TRUE
NDS_BS24300000 - NDS_BS24520000,,,FALSE
NDS_BS24530000 - NDS_BS24570000,,,TRUE
NDS_BS24600000 - NDS_BS24700000,,,FALSE
NDS_BS27110000 - NDS_BS27200000,,,TRUE
NDS_BS27310000 - NDS_BS27330000,,,FALSE
NDS_BS27340000 - NDS_BS27400000,,,TRUE
NDS_BS27510000 - NDS_BS27610000,,,FALSE
NDS_BS27615000,,,TRUE
NDS_BS27620000,,,FALSE
NDS_BS27625000,,,TRUE
NDS_BS27630000,,,FALSE
NDS_BS27635000 - NDS_BS27640000,,,TRUE
NDS_BS27645000 - NDS_BS27670000,,,FALSE
NDS_BS27675000 - NDS_BS27715000,,,TRUE
NDS_BS31100000 - NDS_BS41040272,,,FALSE
NDS_BS41040280 - NDS_BS41040310,,,TRUE
NDS_BS41040320,,,FALSE
NDS_BS41040330,,,TRUE
NDS_BS41052120 - NDS_BS41053570,,,FALSE
NDS_BS41053600 - NDS_BS41053710,,,TRUE
NDS_BS41053800 - NDS_BS41100285,,,FALSE
NDS_BS41100290 - NDS_BS41100295,,,TRUE
NDS_BS42020100 - NDS_BS42050200,,,FALSE
NDS_BS43010110,,,TRUE
NDS_BS43010120,,,FALSE
NDS_BS43010130,,,TRUE
NDS_BS43010131 - NDS_BS43010160,,,FALSE
NDS_BS43010162,,,TRUE
NDS_BS43010164 - NDS_BS43030600,,,FALSE
NDS_BSZ04,,,FALSE
NDS_MB,,,FALSE
NDS_PL52100100,,,TRUE
NDS_PL52100200,,,FALSE
NDS_PL52200100 - NDS_PL52200200,,,TRUE
NDS_PL52200400,,,FALSE
NDS_PL52200500 - NDS_PL52300300,,,TRUE
NDS_PL52300400,,,FALSE
NDS_PL52300500,,,TRUE
NDS_PL52400100 - NDS_PL52400500,,,FALSE
NDS_PL52500100 - NDS_PL53100300,,,TRUE
NDS_PL53100400,,,FALSE
NDS_PL53100500 - NDS_PL53100600,,,TRUE
NDS_PL53100710 - NDS_PL53200300,,,FALSE
NDS_PL53200400 - NDS_PL53200560,,,TRUE
NDS_PL53200800 - NDS_PL53200920,,,FALSE
NDS_PL53201010 - NDS_PL53201030,,,TRUE
NDS_PL53201300 - NDS_PL53201400,,,FALSE
NDS_PL53201500 - NDS_PL53306200,,,TRUE
NDS_PL53307100 - NDS_PL53307400,,,FALSE
NDS_PL53308100 - NDS_PL53308300,,,TRUE
NDS_PL53309110 - NDS_PL53309240,,,FALSE
NDS_PL53310100 - NDS_PL53310200,,,TRUE
NDS_PL53310300 - NDS_PL53310400,,,FALSE
NDS_PL53310500,,,TRUE
NDS_PL53310600 - NDS_PL53310700,,,FALSE
NDS_PL53311100 - NDS_PL53311310,,,TRUE
NDS_PL53311320,,,FALSE
NDS_PL53311410,,,TRUE
NDS_PL53311420 - NDS_PL53311512,,,FALSE
NDS_PL53311521 - NDS_PL53311525,,,TRUE
NDS_PR,,,FALSE